lang,langType,territory,revGenDate,defs,dftLang
wae-CH,wae,CH,,0,False
wo,wo,,,8,False
wo-SN,wo,SN,,0,False
xh,xh,,,6,False
xh-ZA,xh,ZA,,0,False
xog,xog,,,6,False
xog-UG,xog,UG,,0,False
yav,yav,,,6,False
yav-CM,yav,CM,,0,False
yi,yi,,,8,False
yi-001,yi,1,,0,False
yo,yo,,,6,False
yo-BJ,yo,BJ,,5,False
yo-NG,yo,NG,,0,False
yue,yue,,,10,False
yue-Hans,yue,,,10,False
yue-Hans-CN,yue,CN,,0,False
yue-Hant,yue,,,0,False
yue-Hant-HK,yue,HK,,0,False
zgh,zgh,,,6,False
zgh-MA,zgh,MA,,0,False
zh,zh,,,10,False
zh-Hans,zh,,,0,False
zh-Hans-CN,zh,CN,,0,False
zh-Hans-HK,zh,HK,,3,False
zh-Hans-MO,zh,MO,,3,False
zh-Hans-SG,zh,SG,,3,False
zh-Hant,zh,,,10,False
zh-Hant-HK,zh,HK,,9,False
zh-Hant-MO,zh,MO,,1,False
zh-Hant-TW,zh,TW,,0,False
zu,zu,,,10,False
zu-ZA,zu,ZA,,0,False
